wrd	len	exembed	embed	nbs	matN	adds	dels	subs	rhy1	rhy2	cohEmb	cohs	cohshort	cohlong	cohsame	peakAcc	peakRt	DiffAcc	DiffRt	cdiffAcc	cdiffRt	abzAcc	abzRt
sis	3	0	1	6	matN	0	1	5	2	9	cohEmb	6	0	1	4	1	99	1	39	1	30	1	97
sit	3	0	2	10	matN	1	2	7	7	47	cohEmb	6	0	1	4	1	99	1	38	1	31	0	NA
skar	4	0	2	2	matN	0	1	1	1	7	cohEmb	2	0	0	2	1	99	1	36	1	29	1	55
skru	4	0	1	1	matN	0	1	0	1	4	cohEmb	2	0	0	2	1	99	1	37	1	27	1	52
skul	4	0	1	1	matN	0	1	0	1	4	cohEmb	2	0	0	2	1	99	1	38	1	27	1	53
slip	4	1	1	4	matN	1	1	2	2	7	cohEmb	2	0	0	2	1	99	1	42	1	37	1	61
slit	4	0	1	2	matN	0	1	1	0	7	cohEmb	2	0	0	2	1	99	1	42	1	37	1	60
slxg	4	0	1	1	matN	0	0	1	1	3	cohEmb	2	0	0	2	1	99	1	34	1	25	1	48
spark	5	0	4	1	matN	0	1	0	1	4	cohEmb	3	0	0	0	1	99	1	45	1	40	1	57
spat	4	0	1	1	matN	0	1	0	1	8	cohEmb	3	0	1	2	1	99	1	37	1	17	1	52
spid	4	0	1	2	matN	0	1	1	0	7	cohEmb	3	0	1	2	1	99	1	38	1	22	1	55
spik	4	0	2	3	matN	0	2	1	1	4	cohEmb	3	0	1	2	1	99	1	39	1	33	1	60
stak	4	0	0	2	matN	0	0	2	0	5	cohEmb	13	0	9	4	1	99	1	39	1	34	1	56
stap	4	0	1	4	matN	0	1	3	1	6	cohEmb	13	0	9	4	1	99	1	47	1	38	1	61
star	4	2	2	6	matN	1	1	4	2	7	cohEmb	13	0	9	4	1	99	1	41	1	36	1	69
start	5	1	4	1	matN	0	1	0	0	4	cohEmb	13	0	4	4	1	99	1	85	1	73	1	81
startxl	7	0	6	0	matN	0	0	0	0	0	cohEmb	13	10	0	1	0	NA	0	NA	0	NA	0	NA
stil	4	0	1	2	matN	0	1	1	0	4	cohEmb	13	0	9	4	1	99	1	45	1	40	1	64
stip	4	0	1	3	matN	0	0	3	0	7	cohEmb	13	0	9	4	1	99	1	45	1	40	1	61
strik	5	0	1	2	matN	0	0	2	0	1	cohEmb	13	0	4	4	1	99	1	50	1	45	1	67
strit	5	0	3	2	matN	0	1	1	1	2	cohEmb	13	0	4	4	1	99	1	64	1	51	1	90
strxgxl	7	0	1	0	matN	0	0	0	0	0	cohEmb	13	10	0	1	1	99	1	92	1	84	1	90
strxk	5	0	2	2	matN	0	1	1	1	1	cohEmb	13	0	4	4	1	99	1	46	1	42	1	59
stupxd	6	0	2	0	matN	0	0	0	0	0	cohEmb	13	5	2	1	1	99	1	56	1	53	1	61
stxdi	5	1	1	2	matN	1	0	1	0	0	cohEmb	13	0	4	4	1	99	1	48	1	44	1	59
stxdid	6	0	3	1	matN	0	1	0	0	0	cohEmb	13	5	2	1	0	NA	0	NA	0	NA	0	NA
su	2	2	0	5	matN	1	0	4	10	0	cohEmb	2	0	2	0	1	99	1	27	1	6	0	NA
sut	3	1	1	5	matN	0	1	4	4	47	cohEmb	2	0	1	0	1	99	1	34	1	28	1	67
sutxbxl	7	0	3	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	76	1	73	1	79
sxbstxtut	9	0	2	0	matN	0	0	0	0	0	cohEmb	3	3	0	0	1	99	1	93	1	78	0	NA
sxk	3	1	1	4	matN	0	0	4	5	21	cohEmb	3	0	3	0	1	99	1	26	1	14	1	56
sxksid	6	0	4	0	matN	0	0	0	0	0	cohEmb	3	1	1	0	1	99	1	67	1	63	1	68
sxtxl	5	0	1	0	matN	0	0	0	0	2	cohEmb	3	1	2	0	1	99	1	41	1	35	1	59
tap	3	1	0	5	matN	1	0	4	6	20	cohEmb	2	0	1	1	1	99	1	27	1	13	1	65
tar	3	5	1	6	matN	1	1	4	7	7	cohEmb	2	0	1	1	1	99	1	31	1	24	1	89
targxt	6	0	3	0	matN	0	0	0	0	0	cohEmb	2	2	0	0	1	99	1	63	1	61	1	66
ti	2	6	0	7	matN	1	0	6	27	4	cohEmb	0	0	0	0	1	99	1	26	1	12	0	NA
trat	4	0	0	1	matN	0	0	1	0	8	cohEmb	10	0	5	3	1	99	1	40	1	36	1	53
tri	3	4	0	4	matN	1	1	2	3	27	cohEmb	10	0	9	1	1	99	1	30	1	23	1	93
trit	4	2	2	6	matN	2	1	3	2	7	cohEmb	10	0	5	3	1	99	1	55	1	46	1	72
triti	5	0	4	1	matN	0	1	0	0	0	cohEmb	10	2	2	2	0	NA	0	NA	0	NA	0	NA
tru	3	2	0	7	matN	1	1	5	4	10	cohEmb	10	0	9	1	1	99	1	30	1	23	1	84
truli	5	0	2	0	matN	0	0	0	0	0	cohEmb	10	2	2	2	1	99	1	62	1	57	1	72
trup	4	0	1	2	matN	0	1	1	1	2	cohEmb	10	0	5	3	1	99	1	51	1	44	1	59
trxbxl	6	0	2	0	matN	0	0	0	0	5	cohEmb	10	6	0	1	1	99	1	60	1	54	1	68
trxk	4	1	1	1	matN	1	0	0	1	5	cohEmb	10	0	5	3	1	99	1	34	1	27	1	53
trxst	5	1	2	2	matN	1	0	1	0	2	cohEmb	10	2	2	2	1	99	1	47	1	43	1	59
trxsti	6	0	4	1	matN	0	1	0	0	0	cohEmb	10	6	0	1	1	99	0	NA	0	NA	0	NA
tu	2	4	0	8	matN	3	0	5	10	0	cohEmb	2	0	2	0	1	99	1	30	1	12	0	NA
tub	3	0	1	2	matN	0	1	1	0	4	cohEmb	2	0	0	1	1	99	1	33	1	28	1	56
tul	3	0	1	5	matN	0	1	4	4	28	cohEmb	2	0	0	1	1	99	1	35	1	28	1	68
x	1	78	0	4	matN	2	0	2	1	0	cohEmb	11	0	11	0	1	90	0	NA	1	6	0	NA
xbrxpt	6	0	2	0	matN	0	0	0	0	0	cohEmb	0	0	0	0	1	99	1	50	1	45	1	60
xdapt	5	0	1	0	matN	0	0	0	0	0	cohEmb	1	0	0	1	1	99	1	33	1	26	1	51
xdxlt	5	0	2	0	matN	0	0	0	0	0	cohEmb	1	0	0	1	1	99	1	49	1	32	1	62
xgli	4	0	1	1	matN	0	0	1	0	5	cohEmb	1	0	0	1	1	99	1	30	1	22	1	49
xgri	4	0	1	1	matN	0	0	1	0	3	cohEmb	1	0	0	1	1	99	1	30	1	16	1	49
xlat	4	0	2	2	matN	0	1	1	2	8	cohEmb	0	0	0	0	1	99	1	33	1	27	1	52
xp	2	5	1	3	matN	1	1	1	20	1	cohEmb	2	0	2	0	1	99	1	28	1	13	0	NA
xpart	5	0	6	1	matN	0	1	0	1	4	cohEmb	2	1	0	0	1	99	1	47	1	43	1	61
xpil	4	0	3	0	matN	0	0	0	0	4	cohEmb	2	1	1	0	1	99	1	39	1	35	1	53
xs	2	10	1	3	matN	1	1	1	9	3	cohEmb	1	0	1	0	1	99	1	28	1	13	0	NA
xslip	5	0	4	1	matN	0	1	0	1	2	cohEmb	1	1	0	0	1	99	1	47	1	44	1	61
