Feedback_Excitation	Feedback_Inhibition	Continuum_Step	bus_Size	rush_Size	Avg_Size
0.04	-0.09	1	0.0	0.0	0.0
0.04	-0.09	2	0.0	0.0	0.0
0.04	-0.09	3	0.02214545	0.062402993	0.04227422
0.04	-0.09	4	0.0	0.0	0.0
0.04	-0.09	5	0.0	0.0	0.0
0.04	-0.09	6	0.0	0.0	0.0
0.04	-0.08	0	0.0	0.0	0.0
0.04	-0.08	1	0.0	0.0	0.0
0.04	-0.08	2	0.0	0.0	0.0
0.04	-0.08	3	0.019579232	0.05386105	0.03672014
0.04	-0.08	4	0.0	0.0	0.0
0.04	-0.08	5	0.0	0.0	0.0
0.04	-0.08	6	0.0	0.0	0.0
0.04	-0.07	0	0.0	0.0	0.0
0.04	-0.07	1	0.0	0.0	0.0
0.04	-0.07	2	0.0	0.0	0.0
0.04	-0.07	3	0.017326355	0.046287775	0.031807065
0.04	-0.07	4	0.0	0.0	0.0
0.04	-0.07	5	0.0	0.0	0.0
0.04	-0.07	6	0.0	0.0	0.0
0.04	-0.06	0	0.0	0.0	0.0
0.04	-0.06	1	0.0	0.0	0.0
0.04	-0.06	2	0.0	0.0	0.0
0.04	-0.06	3	0.015191257	0.03954172	0.02736649
0.04	-0.06	4	0.0	0.0	0.0
0.04	-0.06	5	0.0	0.0	0.0
0.04	-0.06	6	0.0	0.0	0.0
0.04	-0.05	0	0.0	0.0	0.0
0.04	-0.05	1	0.0	0.0	0.0
0.04	-0.05	2	0.0	0.0	0.0
0.04	-0.05	3	0.013197601	0.03351304	0.02335532
0.04	-0.05	4	0.0	0.0	0.0
0.04	-0.05	5	0.0	0.0	0.0
0.04	-0.05	6	0.0	0.0	0.0
0.04	-0.04	0	0.0	0.0	0.0
0.04	-0.04	1	0.0	0.0	0.0
0.04	-0.04	2	0.0	0.0	0.0
0.04	-0.04	3	0.011327088	0.028119713	0.0197234
0.04	-0.04	4	0.0	0.0	0.0
0.04	-0.04	5	0.0	0.0	0.0
0.04	-0.04	6	0.0	0.0	0.0
0.04	-0.03	0	0.0	0.0	0.0
0.04	-0.03	1	0.0	0.0	0.0
0.04	-0.03	2	0.0023133368	0.0	0.0011566684
0.04	-0.03	3	0.009547651	0.023271382	0.016409516
0.04	-0.03	4	0.0	0.05199291	0.025996456
0.04	-0.03	5	0.0	0.0	0.0
0.04	-0.03	6	0.0	0.0	0.0
0.04	-0.02	0	0.0	0.0	0.0
0.04	-0.02	1	0.025706299	0.0	0.012853149
0.04	-0.02	2	0.094609246	0.0	0.047304623
0.04	-0.02	3	0.007851839	0.019439667	0.013645753
0.04	-0.02	4	0.0	0.12576996	0.06288498
0.04	-0.02	5	0.0	0.064635985	0.032317992
