Feedback_Excitation	Feedback_Inhibition	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.0	-0.14	2	0	40.401069518716575	0.8820754716981132
0.0	-0.14	2	0.01	41.96756756756757	0.8726415094339622
0.0	-0.14	2	0.02	54.406976744186046	0.8113207547169812
0.0	-0.14	2	0.03	62.504950495049506	0.47641509433962265
0.0	-0.14	2	0.04	69.0	0.28773584905660377
0.0	-0.14	2	0.05	71.41666666666667	0.22641509433962265
0.0	-0.14	2	0.06	72.72972972972973	0.17452830188679244
0.0	-0.14	2	0.07	71.15384615384616	0.12264150943396226
0.0	-0.14	2	0.08	65.55555555555556	0.08490566037735849
0.0	-0.14	2	0.09	68.05555555555556	0.08490566037735849
0.0	-0.14	2	0.1	55.8	0.07075471698113207
0.0	-0.14	2	0.11	65.28571428571429	0.0660377358490566
0.0	-0.14	2	0.12	68.05555555555556	0.08490566037735849
0.0	-0.14	2	0.13	60.72727272727273	0.05188679245283019
0.0	-0.14	2	0.14	60.083333333333336	0.05660377358490566
0.0	-0.14	2	0.15	67.42857142857143	0.0660377358490566
0.0	-0.14	3	0	40.401069518716575	0.8820754716981132
0.0	-0.14	3	0.01	42.60752688172043	0.8773584905660378
0.0	-0.14	3	0.02	55.17045454545455	0.8301886792452831
0.0	-0.14	3	0.03	63.47572815533981	0.4858490566037736
0.0	-0.14	3	0.04	71.54098360655738	0.28773584905660377
0.0	-0.14	3	0.05	72.73469387755102	0.23113207547169812
0.0	-0.14	3	0.06	71.5	0.16981132075471697
0.0	-0.14	3	0.07	68.75	0.11320754716981132
0.0	-0.14	3	0.08	64.6	0.09433962264150944
0.0	-0.14	3	0.09	73.15	0.09433962264150944
0.0	-0.14	3	0.1	69.6470588235294	0.08018867924528301
0.0	-0.14	3	0.11	55.583333333333336	0.05660377358490566
0.0	-0.14	3	0.12	65.5	0.0660377358490566
0.0	-0.14	3	0.13	68.16666666666667	0.05660377358490566
0.0	-0.14	3	0.14	57.214285714285715	0.0660377358490566
0.0	-0.14	3	0.15	67.0	0.05660377358490566
0.0	-0.14	4	0	40.401069518716575	0.8820754716981132
0.0	-0.14	4	0.01	42.13978494623656	0.8773584905660378
0.0	-0.14	4	0.02	54.831460674157306	0.839622641509434
0.0	-0.14	4	0.03	64.21698113207547	0.5
0.0	-0.14	4	0.04	68.01666666666667	0.2830188679245283
0.0	-0.14	4	0.05	71.69565217391305	0.2169811320754717
0.0	-0.14	4	0.06	70.02857142857142	0.1650943396226415
0.0	-0.14	4	0.07	69.48148148148148	0.12735849056603774
0.0	-0.14	4	0.08	70.05	0.09433962264150944
0.0	-0.14	4	0.09	66.3	0.09433962264150944
0.0	-0.14	4	0.1	73.33333333333333	0.08490566037735849
0.0	-0.14	4	0.11	64.11111111111111	0.08490566037735849
0.0	-0.14	4	0.12	72.46666666666667	0.07075471698113207
0.0	-0.14	4	0.13	62.3125	0.07547169811320754
0.0	-0.14	4	0.14	63.333333333333336	0.05660377358490566
0.0	-0.14	4	0.15	68.08333333333333	0.05660377358490566
0.0	-0.14	5	0	40.401069518716575	0.8820754716981132
0.0	-0.14	5	0.01	42.84864864864865	0.8726415094339622
0.0	-0.14	5	0.02	55.08045977011494	0.8207547169811321
0.0	-0.14	5	0.03	62.75471698113208	0.5
0.0	-0.14	5	0.04	71.12121212121212	0.3113207547169811
0.0	-0.14	5	0.05	71.56521739130434	0.2169811320754717
0.0	-0.14	5	0.06	70.58333333333333	0.16981132075471697
0.0	-0.14	5	0.07	66.81481481481481	0.12735849056603774
0.0	-0.14	5	0.08	65.4090909090909	0.10377358490566038
0.0	-0.14	5	0.09	64.44444444444444	0.08490566037735849
0.0	-0.14	5	0.1	56.142857142857146	0.0660377358490566
0.0	-0.14	5	0.11	66.46666666666667	0.07075471698113207
0.0	-0.14	5	0.12	66.26666666666667	0.07075471698113207
0.0	-0.14	5	0.13	60.0	0.06132075471698113
0.0	-0.14	5	0.14	69.76923076923077	0.06132075471698113
0.0	-0.14	5	0.15	63.4	0.04716981132075472
0.0	-0.14	6	0	40.401069518716575	0.8820754716981132
0.0	-0.14	6	0.01	41.38121546961326	0.8537735849056604
0.0	-0.14	6	0.02	55.655367231638415	0.8349056603773585
0.0	-0.14	6	0.03	62.48598130841121	0.5047169811320755
0.0	-0.14	6	0.04	67.88235294117646	0.32075471698113206
0.0	-0.14	6	0.05	72.2127659574468	0.22169811320754718
0.0	-0.14	6	0.06	68.05555555555556	0.16981132075471697
0.0	-0.14	6	0.07	74.80645161290323	0.14622641509433962
0.0	-0.14	6	0.08	66.68	0.1179245283018868
0.0	-0.14	6	0.09	69.6875	0.07547169811320754
0.0	-0.14	6	0.1	69.61111111111111	0.08490566037735849
0.0	-0.14	6	0.11	64.5	0.0660377358490566
0.0	-0.14	6	0.12	59.4	0.07075471698113207
0.0	-0.14	6	0.13	71.26666666666667	0.07075471698113207
0.0	-0.14	6	0.14	59.18181818181818	0.05188679245283019
0.0	-0.14	6	0.15	68.58333333333333	0.05660377358490566
0.0	-0.14	7	0	40.401069518716575	0.8820754716981132
0.0	-0.14	7	0.01	42.668449197860966	0.8820754716981132
0.0	-0.14	7	0.02	53.19277108433735	0.7830188679245284
0.0	-0.14	7	0.03	63.60576923076923	0.49056603773584906
0.0	-0.14	7	0.04	71.55714285714286	0.330188679245283
0.0	-0.14	7	0.05	72.08333333333333	0.22641509433962265
0.0	-0.14	7	0.06	70.32432432432432	0.17452830188679244
0.0	-0.14	7	0.07	77.10344827586206	0.13679245283018868
0.0	-0.14	7	0.08	67.85714285714286	0.09905660377358491
0.0	-0.14	7	0.09	60.76470588235294	0.08018867924528301
0.0	-0.14	7	0.1	68.17647058823529	0.08018867924528301
0.0	-0.14	7	0.11	58.86666666666667	0.07075471698113207
0.0	-0.14	7	0.12	63.214285714285715	0.0660377358490566
0.0	-0.14	7	0.13	60.07692307692308	0.06132075471698113
0.0	-0.14	7	0.14	61.833333333333336	0.05660377358490566
0.0	-0.14	7	0.15	56.45454545454545	0.05188679245283019
0.0	-0.14	8	0	40.401069518716575	0.8820754716981132
0.0	-0.14	8	0.01	42.21739130434783	0.8679245283018868
0.0	-0.14	8	0.02	54.339080459770116	0.8207547169811321
0.0	-0.14	8	0.03	62.90291262135922	0.4858490566037736
0.0	-0.14	8	0.04	71.75384615384615	0.30660377358490565
0.0	-0.14	8	0.05	74.82978723404256	0.22169811320754718
0.0	-0.14	8	0.06	71.19444444444444	0.16981132075471697
