NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	0.0	8	0.02	48.650887573964496	0.7971698113207547
0.15	0.0	8	0.03	53.24107142857143	0.5283018867924528
0.15	0.0	8	0.04	57.206896551724135	0.41037735849056606
0.15	0.0	8	0.05	58.76086956521739	0.2169811320754717
0.15	0.0	8	0.06	55.13333333333333	0.14150943396226415
0.15	0.0	8	0.07	60.785714285714285	0.1320754716981132
0.15	0.0	8	0.08	58.421052631578945	0.08962264150943396
0.15	0.0	8	0.09	58.9375	0.07547169811320754
0.15	0.0	8	0.1	63.15384615384615	0.06132075471698113
0.15	0.0	8	0.11	61.3	0.04716981132075472
0.15	0.0	8	0.12	56.0	0.02830188679245283
0.15	0.0	8	0.13	38.666666666666664	0.014150943396226415
0.15	0.0	8	0.14	25.5	0.009433962264150943
0.15	0.0	8	0.15	14.5	0.009433962264150943
0.15	0.0	9	0	38.08612440191388	0.9858490566037735
0.15	0.0	9	0.01	41.18274111675127	0.9292452830188679
0.15	0.0	9	0.02	49.411764705882355	0.8018867924528302
0.15	0.0	9	0.03	53.25892857142857	0.5283018867924528
0.15	0.0	9	0.04	57.04545454545455	0.41509433962264153
0.15	0.0	9	0.05	58.06666666666667	0.21226415094339623
0.15	0.0	9	0.06	58.57575757575758	0.15566037735849056
0.15	0.0	9	0.07	58.5	0.11320754716981132
0.15	0.0	9	0.08	55.166666666666664	0.08490566037735849
0.15	0.0	9	0.09	60.75	0.07547169811320754
0.15	0.0	9	0.1	64.14285714285714	0.0660377358490566
0.15	0.0	9	0.11	54.125	0.03773584905660377
0.15	0.0	9	0.12	56.666666666666664	0.02830188679245283
0.15	0.0	9	0.13	41.0	0.014150943396226415
0.15	0.0	9	0.14	38.666666666666664	0.014150943396226415
0.15	0.0	9	0.15	11.0	0.009433962264150943
0.15	0.0	10	0	38.08612440191388	0.9858490566037735
0.15	0.0	10	0.01	40.89795918367347	0.9245283018867925
0.15	0.0	10	0.02	49.2	0.8018867924528302
0.15	0.0	10	0.03	53.027272727272724	0.5188679245283019
0.15	0.0	10	0.04	57.88636363636363	0.41509433962264153
0.15	0.0	10	0.05	59.166666666666664	0.22641509433962265
0.15	0.0	10	0.06	57.15625	0.1509433962264151
0.15	0.0	10	0.07	57.84	0.1179245283018868
0.15	0.0	10	0.08	57.77777777777778	0.08490566037735849
0.15	0.0	10	0.09	58.4375	0.07547169811320754
0.15	0.0	10	0.1	65.57142857142857	0.0660377358490566
0.15	0.0	10	0.11	60.666666666666664	0.04245283018867924
0.15	0.0	10	0.12	57.6	0.02358490566037736
0.15	0.0	10	0.13	40.333333333333336	0.014150943396226415
0.15	0.0	10	0.14	31.0	0.009433962264150943
0.15	0.0	10	0.15	21.5	0.009433962264150943
0.15	0.0	11	0	38.08612440191388	0.9858490566037735
0.15	0.0	11	0.01	40.90816326530612	0.9245283018867925
0.15	0.0	11	0.02	48.633136094674555	0.7971698113207547
0.15	0.0	11	0.03	53.223214285714285	0.5283018867924528
0.15	0.0	11	0.04	56.593023255813954	0.4056603773584906
0.15	0.0	11	0.05	58.71739130434783	0.2169811320754717
0.15	0.0	11	0.06	57.38709677419355	0.14622641509433962
0.15	0.0	11	0.07	60.24	0.1179245283018868
0.15	0.0	11	0.08	57.388888888888886	0.08490566037735849
0.15	0.0	11	0.09	59.25	0.07547169811320754
0.15	0.0	11	0.1	63.07142857142857	0.0660377358490566
0.15	0.0	11	0.11	62.0	0.04716981132075472
0.15	0.0	11	0.12	55.2	0.02358490566037736
0.15	0.0	11	0.13	43.666666666666664	0.014150943396226415
0.15	0.0	11	0.14	24.0	0.009433962264150943
0.15	0.0	11	0.15	38.0	0.009433962264150943
0.15	0.0	12	0	38.08612440191388	0.9858490566037735
0.15	0.0	12	0.01	41.11734693877551	0.9245283018867925
0.15	0.0	12	0.02	48.71597633136095	0.7971698113207547
0.15	0.0	12	0.03	53.49122807017544	0.5377358490566038
0.15	0.0	12	0.04	56.848837209302324	0.4056603773584906
0.15	0.0	12	0.05	59.638297872340424	0.22169811320754718
0.15	0.0	12	0.06	55.666666666666664	0.14150943396226415
0.15	0.0	12	0.07	57.84	0.1179245283018868
0.15	0.0	12	0.08	54.8235294117647	0.08018867924528301
0.15	0.0	12	0.09	57.75	0.07547169811320754
0.15	0.0	12	0.1	64.14285714285714	0.0660377358490566
0.15	0.0	12	0.11	63.0	0.04716981132075472
0.15	0.0	12	0.12	67.66666666666667	0.02830188679245283
0.15	0.0	12	0.13	27.5	0.009433962264150943
0.15	0.0	12	0.14	34.666666666666664	0.014150943396226415
0.15	0.0	12	0.15	46.0	0.014150943396226415
0.15	0.0	13	0	38.08612440191388	0.9858490566037735
0.15	0.0	13	0.01	40.91836734693877	0.9245283018867925
0.15	0.0	13	0.02	48.648809523809526	0.7924528301886793
0.15	0.0	13	0.03	54.016949152542374	0.5566037735849056
0.15	0.0	13	0.04	58.02298850574713	0.41037735849056606
0.15	0.0	13	0.05	59.354166666666664	0.22641509433962265
0.15	0.0	13	0.06	56.70967741935484	0.14622641509433962
0.15	0.0	13	0.07	57.72727272727273	0.10377358490566038
0.15	0.0	13	0.08	59.578947368421055	0.08962264150943396
0.15	0.0	13	0.09	61.25	0.07547169811320754
0.15	0.0	13	0.1	63.857142857142854	0.0660377358490566
0.15	0.0	13	0.11	68.6	0.04716981132075472
0.15	0.0	13	0.12	60.0	0.02830188679245283
0.15	0.0	13	0.13	51.75	0.018867924528301886
0.15	0.0	13	0.14	41.333333333333336	0.014150943396226415
0.15	0.0	13	0.15	33.0	0.009433962264150943
0.15	0.0	14	0	38.08612440191388	0.9858490566037735
0.15	0.0	14	0.01	41.17857142857143	0.9245283018867925
0.15	0.0	14	0.02	49.25443786982248	0.7971698113207547
0.15	0.0	14	0.03	53.08849557522124	0.5330188679245284
