TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
du	2	4	4	1	1	3	0	1	1	0	1	3
duti	2	1	1	5	3	1	1	0	1	0	0	1
dxbxl	4	2	3	6	2	1	3	0	1	0	0	2
dxk	4	5	5	22	2	2	0	2	2	0	0	5
dxl	4	4	1	29	2	2	0	2	2	0	0	4
dxst	4	1	2	8	3	1	2	1	1	0	0	1
gad	3	5	3	19	2	1	0	1	2	1	1	3
gard	3	3	2	2	2	1	2	0	1	1	0	2
gat	3	6	9	48	1	1	0	1	2	0	0	6
glu	1	4	3	11	1	1	0	0	1	0	0	4
grik	4	2	2	5	1	1	1	0	3	0	0	2
grit	4	3	3	8	2	1	1	0	3	0	0	3
gru	4	6	5	11	1	2	0	3	1	0	1	5
grup	4	3	2	3	2	1	1	0	3	1	0	2
gxtar	1	1	1	3	4	1	0	0	1	0	0	1
hak	4	5	6	22	1	1	0	1	3	0	0	5
hap	4	8	7	21	1	1	0	1	3	0	1	7
harp	4	2	1	1	2	1	3	0	1	1	0	1
hat	4	10	9	48	1	1	0	1	3	0	0	10
hi	4	8	7	1	1	4	0	3	1	0	2	6
hild	4	1	1	1	2	1	3	0	1	0	0	1
hip	4	7	7	21	2	1	1	1	2	1	0	6
