Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.14	28	0.49810517	0.0	0.0	0.49353033	0.03976994	0.035914116	0.03976994	0.035914116
0.0	-0.14	29	0.49801177	0.0	0.0	0.49320263	0.034498528	0.030953264	0.034498528	0.030953264
0.0	-0.14	30	0.49789637	0.0	0.0	0.49292243	0.029909603	0.026671626	0.029909603	0.026671626
0.0	-0.14	31	0.49778005	0.0	0.0	0.49271268	0.025915837	0.022977658	0.025915837	0.022977658
0.0	-0.14	32	0.49767187	0.0	0.0	0.49257883	0.022440447	0.019791491	0.022440447	0.019791491
0.0	-0.14	33	0.49757946	0.0	0.0	0.49252462	0.01941279	0.017035896	0.019408908	0.017043754
0.0	-0.14	34	0.4975113	0.0	0.0	0.49254453	0.01677407	0.014648403	0.016761778	0.01467438
0.0	-0.14	35	0.49747512	0.0	0.0	0.49263525	0.014474928	0.012578084	0.014450648	0.012631456
0.0	-0.14	36	0.497473	0.0	0.0	0.4927793	0.012473889	0.0107832365	0.012435242	0.010870633
0.0	-0.14	37	0.4974969	0.0	0.0	0.49296275	0.010734674	0.009228297	0.010680953	0.009353556
0.0	-0.14	38	0.49754047	0.0	0.0	0.49317443	0.009225459	0.00788314	0.009157113	0.008047048
0.0	-0.14	39	0.49759862	0.0	0.0	0.49340564	0.00791835	0.0067218244	0.007836416	0.0069224136
0.0	-0.14	40	0.49766734	0.0	0.0	0.49364942	0.006788605	0.005721537	0.006694462	0.005954762
0.0	-0.14	41	0.49774343	0.0	0.0	0.49390042	0.005814105	0.0048619974	0.0057093925	0.0051225214
0.0	-0.14	42	0.4978244	0.0	0.0	0.4941544	0.004975014	0.004125076	0.0048615998	0.004406991
0.0	-0.14	43	0.4979083	0.0	0.0	0.49440807	0.0042535784	0.00349457	0.0041335137	0.0037919672
0.0	-0.14	44	0.4979936	0.0	0.0	0.49465898	0.0036341026	0.0029561524	0.0035095094	0.0032634295
0.0	-0.14	45	0.4980791	0.0	0.0	0.49490523	0.003102793	0.0024972197	0.0029757405	0.0028092614
0.0	-0.14	46	0.49816394	0.0	0.0	0.4951454	0.0026475613	0.0021067227	0.0025199861	0.0024190058
0.0	-0.14	47	0.49824136	0.0	0.0	0.49537852	0.0022578638	0.0017750104	0.002131504	0.0020836494
0.0	-0.14	48	0.4983064	0.0	0.0	0.49560392	0.0019245376	0.0014936811	0.0018008874	0.0017954307
0.0	-0.14	49	0.4983557	0.0	0.0	0.49582106	0.0016396391	0.0012554443	0.0015199295	0.0015476735
0.0	-0.14	50	0.49838707	0.0	0.0	0.4960297	0.001396297	0.001053956	0.0012815004	0.0013346437
0.0	-0.14	51	0.49839944	0.0	0.0	0.49622974	0.0011885848	0.0008837616	0.0010794251	0.0011514198
