TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
bark	slex	0.3	0	20	Probability	CDiff	1	42	29	4	4	0	bark	7	5	5	5	4	1	2	1	4	2	0	3
bar	slex	0.3	0	20	Activation	Peak	1	97	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Activation	Max	1	26	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Activation	Abz	1	46	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Activation	Diff	1	35	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Activation	CDiff	1	57	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Probability	Peak	1	100	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Probability	Max	1	26	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Probability	Abz	1	47	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Probability	Diff	1	35	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
bar	slex	0.3	0	20	Probability	CDiff	1	45	23	3	3	0	bar	7	7	7	8	2	2	0	5	2	1	1	5
batxl	slex	0.3	0	20	Activation	Peak	1	87	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Activation	Max	1	33	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Activation	Abz	1	43	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Activation	Diff	1	45	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Activation	CDiff	1	52	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Probability	Peak	1	87	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Probability	Max	1	33	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Probability	Abz	1	44	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Probability	Diff	1	39	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
batxl	slex	0.3	0	20	Probability	CDiff	1	44	35	5	3	12	batxl	7	1	1	3	2	1	6	0	1	0	0	1
bi	slex	0.3	0	20	Activation	Peak	1	75	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Activation	Max	1	17	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Activation	Abz	0	NA	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Activation	Diff	1	41	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Activation	CDiff	1	61	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Probability	Peak	1	78	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Probability	Max	1	17	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Probability	Abz	1	66	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Probability	Diff	1	36	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bi	slex	0.3	0	20	Probability	CDiff	1	52	17	2	2	0	bi	3	7	7	3	1	5	0	2	1	0	1	6
bist	slex	0.3	0	20	Activation	Peak	1	97	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Activation	Max	1	34	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Activation	Abz	1	42	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Activation	Diff	1	38	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Activation	CDiff	1	55	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Probability	Peak	1	97	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Probability	Max	1	34	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Probability	Abz	1	42	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Probability	Diff	1	36	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
bist	slex	0.3	0	20	Probability	CDiff	1	42	29	4	3	6	bist	3	5	4	8	3	1	2	0	1	2	0	3
